품목기준코드,제품명,제품영문명,업체명,업체영문명,허가일,품목구분,허가번호,취소/취하,취소/취하일자,주성분,첨가제,품목분류,전문의약품,완제/원료,허가/신고,제조/수입,마약구분,모양,색상,제형,장축,단축,신약구분,표준코드명,ATC코드,묶음의약품정보,e은약요,수입제조국,주성분영문
200810939,감콜데이나이트정(수출용),Gamcol DayNight Cap.,(주)마더스제약,MOTHER'S PHARMACEUTICAL.,2008-11-11,의약품,319,정상,,슈도에페드린염산염/아세트아미노펜/페닐레프린염산염/클로르페니라민말레산염,"미결정셀룰로오스,폴리에틸렌글리콜6000,산화티탄,포비돈,스테아르산마그네슘,히프로멜로오스 2910,경질무수규산,전분글리콜산나트륨,히드록시프로필셀룰로오스,식약청인정타르색소",,일반의약품,완제의약품,신고,제조,,,,,,,N,"8806228000202,8806552015903,8806228000219,8806552015910",N02BE51,,,,Pseudoephedrine Hydrochloride/Acetaminophen/Phenylephrine Hydrochloride/Chlorpheniramine Maleate
202006924,감콜씨플러스캡슐,Gamcol C plus Cap.,(주)마더스제약,MOTHER'S PHARMACEUTICAL.,2020-10-12,의약품,5352,유효기간만료,2025-10-12,아세트아미노펜/클로르페니라민말레산염/dl-메틸에페드린염산염/클로페라스틴염산염/카페인무수물/티아민질산염/리보플라빈/아스코르브산,"겔화전분,실리콘디옥사이드,스테아르산마그네슘,크로스카멜로오스나트륨,히드록시프로필셀룰로오스,캡슐",,일반의약품,완제의약품,신고,제조,,,,,,,N,,,,,,Acetaminophen/Chlorpheniramine Maleate/DL-Methylephedrine Hydrochloride/Cloperastine Hydrochloride/Anhydrous Caffeine/Thiamine Nitrate/Riboflavin/Ascorbic Acid
200604208,감콜캡슐(수출용),Gamcol Cap.,(주)마더스제약,MOTHER'S PHARMACEUTICAL.,2006-05-19,의약품,220,정상,,카페인무수물/티아민질산염/메타규산알루민산마그네슘/클로르페니라민말레산염/아세트아미노펜/dl-메틸에페드린염산염/덱스트로메토르판브롬화수소산염수화물/길경엑스산(10→1)/감초엑스산(5→1),"유당수화물,스테아르산마그네슘,경질무수규산,캡슐제",,일반의약품,완제의약품,신고,제조,,장방형,,,19.10,6.63,N,"8806228001506,8806552000107,8806228001513,8806552000114,8806228001520,8806552000121",R05X,,,,Anhydrous Caffeine/Thiamine Nitrate/Magnesium Aluminometasilicate/Chlorpheniramine Maleate/Acetaminophen/DL-Methylephedrine Hydrochloride/Dextromethorphan Hydrobromide Hydrate/Platycodon Root Extract Powder (10→1)/Glycyrrhiza Extract Powder (5→1)
202002523,건트라셋서방정,Kuhntraset SR Tab.,건일바이오팜주식회사,"Kuhnilbiopharm.Co.,Ltd.",2020-04-09,의약품,428,정상,,아세트아미노펜/트라마돌염산염,"저치환도히드록시프로필셀룰로오스,크로스포비돈,히프로멜로오스,콜로이드성이산화규소,포비돈,스테아르산마그네슘,오파드라이Ⅱ노란색(85F420033)",,전문의약품,완제의약품,허가,제조,,장방형,,,19.2,8.7,N,"8800730003409,8806744021903,8800730003416,8806744021910,8800730003423,8806744021927",N02AJ13,,,,Acetaminophen/Tramadol Hydrochloride
202002522,건트라셋세미서방정,Kuhntrasetsemi SR Tab.,건일바이오팜주식회사,"Kuhnilbiopharm.Co.,Ltd.",2020-04-09,의약품,427,정상,,아세트아미노펜/트라마돌염산염,"저치환도히드록시프로필셀룰로오스,크로스포비돈,히프로멜로오스,콜로이드성이산화규소,포비돈,스테아르산마그네슘,오파드라이Ⅱ노란색(85F420033)",,전문의약품,완제의약품,허가,제조,,원형,,,9.9,9.9,N,"8800730003508,8806744021804,8800730003515,8806744021811,8800730003522,8806744021828",N02AJ13,,,,Acetaminophen/Tramadol Hydrochloride
199806929,게리동정(수출용),,(주)넥스팜코리아,nexpharm korea,1966-10-06,의약품,11,정상,,아세트아미노펜/에텐자미드/카페인무수물/클로르페니라민말레산염,"적색40호알루미늄레이크,유당,스테아르산마그네슘,카르복시메틸셀룰로오스칼슘,옥수수전분,히드록시프로필셀룰로오스",,일반의약품,완제의약품,신고,제조,,삼각형,,,12.3,12.3,N,"8806625000300,8806625000317,8806625000324,8806625000331",R05X,,,,Acetaminophen/Ethenzamide/Anhydrous Caffeine/Chlorpheniramine Maleate
202107495,게보린브이정(아세트아미노펜),GEWORIN V Tablet,삼진제약(주),"SAMJIN PHARM.CO.,LTD",2021-11-16,의약품,5194,정상,,아세트아미노펜,"저치환도히드록시프로필셀룰로오스,스테아르산,오파드라이흰색(03B28796),크로스카멜로오스나트륨,콜로이드성이산화규소,스테아르산마그네슘,히드록시프로필셀룰로오스",,일반의약품,완제의약품,신고,제조,,삼각형,,,11.3,11.1,N,"8806478053300,8806478053317",N02BE01,,202107495,,Acetaminophen
201111097,게보린에스정(수출용),GEWORIN S Tab.,삼진제약(주),"SAMJIN PHARM.CO.,LTD",2011-12-22,의약품,5016,정상,,아세트아미노펜/카페인무수물/제피아스코르브산,"저치환도히드록시프로필셀룰로오스,콜로이드성 이산화규소,스테아르산,크로스포비돈,식약청인정타르색소(적색3호),스테아르산마그네슘,전호화전분",,일반의약품,완제의약품,신고,제조,,,,,,,N,8806478036808,N02BE51,,,,Acetaminophen/Anhydrous Caffeine/Ascorbic Acid Coated
197900277,게보린정(수출명:돌로린정),Geworin Tab.,삼진제약(주),"SAMJIN PHARM.CO.,LTD",1979-03-15,의약품,375,정상,,아세트아미노펜/카페인무수물/이소프로필안티피린,"적색3호,저치환도히드록시프로필셀룰로오스,미결정셀룰로오스,스테아르산마그네슘,실리콘디옥시드,전분글리콜산나트륨,히드록시프로필셀룰로오스",,일반의약품,완제의약품,신고,제조,,삼각형,,,11.2,11.2,N,"8806478000403,8806478000410,8806478000427",N02BE51,,197900277,,Acetaminophen/Anhydrous Caffeine/Isopropylantipyrine
202006756,게보린쿨다운정,GEWORIN Cooldown Tablet,삼진제약(주),"SAMJIN PHARM.CO.,LTD",2020-10-06,의약품,5167,취하,2025-01-09,아세트아미노펜/벤포티아민/리보플라빈/제피아스코르브산,"오파드라이 클리어(03K19229),저치환도히드록시프로필셀룰로오스,크로스카르멜로오스나트륨,스테아르산,오파드라이QX녹색(321A610044),콜로이드성이산화규소,스테아르산마그네슘,히드록시프로필셀룰로오스",,일반의약품,완제의약품,신고,제조,,,,,,,N,"8806478050613,8806478050606",N02BE51,,202006756,,Acetaminophen/Benfotiamine/Riboflavin/Ascorbic Acid Coated
197600432,경동아세트아미노펜정(수출용),Kyungdong Acetaminophen Tab.,경동제약(주),"KyungDong Pharm. Co., Ltd.",1976-06-17,의약품,106,취하,2025-12-11,아세트아미노펜,"스테아르산,미결정셀룰로오스,이산화규소,전분글리콜산나트륨",,일반의약품,완제의약품,신고,제조,,,,,,,N,"8806481001107,8806481001114,8806481001121,8806481001138,8806481001145,8806481001152",N02BE01,,,,Acetaminophen
201204672,고프레노즈연질캡슐,GOPLE NOSE,국제약품(주),"KUKJE pharmaceutical co., ltd",2012-05-16,의약품,5024,유효기간만료,2024-01-01,아세트아미노펜/슈도에페드린염산염/클로르페니라민말레산염,"프로필렌글리콜,폴리에틸렌글리콜400,솔비톨스페샬글리세린블렌드,젤라틴,포비돈,황색203호,정제수,청색1호",,일반의약품,완제의약품,신고,제조,,,,,,,N,"8806437034807,8806437034814",R05X,,,,Acetaminophen/Pseudoephedrine Hydrochloride/Chlorpheniramine Maleate
202501561,광동콜에스액,Kwangdongcold S solution,광동제약(주),"Kwangdong Pharm Co., Ltd.",2025-06-24,의약품,5275,정상,,아세트아미노펜/구아이페네신/에페드린염산염/클로르페니라민말레산염/카페인무수물,"베타덱스,시트르산수화물,드링크향 KBR-150108,자일리톨,고과당,백당,수크랄로스,에데트산나트륨수화물,시트르산나트륨수화물,L-멘톨,아세설팜칼륨,정제수,조합향료딸기향KBR-140705",,일반의약품,완제의약품,신고,제조,,,,,,,N,"8806418074716,8806418074709",R05X,,,,Acetaminophen/Guaifenesin/Ephedrine Hydrochloride/Chlorpheniramine Maleate/Anhydrous Caffeine
200502338,광동탕골드액,,광동제약(주),"Kwangdong Pharm Co., Ltd.",2005-06-27,의약품,231,유효기간만료,2024-01-01,진광탕연조엑스/아세트아미노펜,"시트르산수화물,인산,고과당,아스파탐,염화나트륨,시트르산나트륨수화물,쌍화향,아세설팜칼륨,정제수",,일반의약품,완제의약품,신고,제조,,,,,,,N,"8806418008803,8806418008810",N02BE51,,,,Jinkwangtang Extract/Acetaminophen
